query	targets
find image	screen.find_image,ImageObject:find_image,image.load_file
image matching	screen.find_image,ImageObject:find_image,ImageObject:cv_find_image
template matching	ImageObject:cv_detect_templates,ImageObject:cv_find_image
get color	screen.get_color,screen.get_color_rgb,ImageObject:get_color
find color	screen.find_color,ImageObject:find_color
multi-point color	screen.is_colors,ImageObject:is_colors,screen.find_color
screenshot	screen.image
screen image	screen.image,screen.keep,screen.unkeep
OCR	screen.ocr_text,ImageObject:ocr_text,ImageObject:apple_ocr,ImageObject:paddle_ocr
Apple OCR	ImageObject:apple_ocr,image.vision_supported_recognition_languages
Paddle OCR	ImageObject:paddle_ocr,screen.ocr_text
text recognition	screen.ocr_text,ImageObject:ocr_text,ImageObject:apple_ocr,ImageObject:paddle_ocr,ddddocr,paddleocr_onnx,references/third-party/ddddocr.md,references/third-party/paddleocr_onnx.md
dm	references/api/dm.md
matrix dictionary	dm,references/api/dm.md
matrix OCR	dm.Ocr,references/api/dm.md
dm OCR	dm.Ocr,references/api/dm.md
dm FindStr	dm.FindStr,references/api/dm.md
FindStr	dm.FindStr,references/api/dm.md
FindMatrix	dm.FindMatrix,references/api/dm.md
LoadDict	dm.LoadDict,references/api/dm.md
UseDict	dm.UseDict,references/api/dm.md
QR code	ImageObject:qr_decode,utils.qr_encode
image crop	ImageObject:crop
image resize	ImageObject:cv_resize
image save	ImageObject:save_to_png_file,ImageObject:save_to_jpeg_file,ImageObject:save_to_album
image binarization	ImageObject:binaryzation,ImageObject:cv_binaryzation
color replacement	ImageObject:replace_color
contour detection	ImageObject:cv_find_shapes,ImageObject:cv_to_shapes
tap	touch.tap
touch tap	touch.tap
touch control	touch.on,touch.move,touch.off,TouchObject:move,TouchObject:off,TouchObject:msleep,TouchObject:step_delay,TouchObject:step_len
swipe	touch.on,touch.move,touch.off,TouchObject:move,TouchObject:off,TouchObject:step_delay,TouchObject:step_len
precise swipe	samples-1,touch.on,TouchObject:move,TouchObject:step_delay,TouchObject:step_len
avoid inertia	samples-1,touch.on,TouchObject:move,TouchObject:step_delay,TouchObject:step_len
long press	touch.on,TouchObject:msleep,TouchObject:off
key	key.down,key.up,key.press
key code	key.down,key.up,key.press
shortcut	key.down,key.up,key.press
key chord	key.down,key.up,key.press
phone event	xxtouch.call_callback,thread.register_event
incoming call	xxtouch.call_callback
Activator	xxtouch.activator_callback,thread.register_event
HID event	xxtouch.hid_event,thread.register_event
input text	sys.input_text,key.send_text
keyboard input	sys.input_text,key.send_text
wait	sys.msleep,TouchObject:msleep
delay	sys.msleep,TouchObject:msleep
pressure	TouchObject:press
3D Touch	TouchObject:press
log	nLog,sys.log,print.out
toast	sys.toast,sys.alert
alert	sys.alert,dialog
input box	sys.input_box,Dialog:add_input
dialog	dialog,Dialog:show,Dialog:load
XUI dialog	dialog,references/api/Dialog.xui.md,Dialog:add_button,Dialog:add_group,Dialog:reload
picker	Dialog:add_picker
radio	Dialog:add_radio
checkbox	Dialog:add_checkbox
switch control	Dialog:add_switch
configuration UI	dialog,Dialog:show,Dialog:load
XPP configuration UI	references/xpp.md,references/xui-format.md,xui.show,xui.setup,xui.get,xui.set,xui.read,xui.write,xui.clear
XUI	references/xui-format.md,references/api/Dialog.xui.md,xui.show,xui.setup,xui.dismiss,xui.reload,xui.clear,xui.get,xui.set,xui.read,xui.write
XUI dialog engine	references/api/Dialog.xui.md,dialog.engine
XUI format	references/xui-format.md
XUI example	references/xui-format.md
XUI entry	references/xui/README.md,references/xui-format.md
XUI root structure	references/xui/format.md
XUI theme	references/xui/format.md
XUI config persistence	references/xui/format.md,references/api/xui.md
XUI internal API	references/xui/format.md
XUI component	references/xui/modules.md
XUI module	references/xui/modules.md
XUI Button	references/xui/modules.md
XUI Link	references/xui/modules.md
XUI Group	references/xui/modules.md
XUI Switch	references/xui/modules.md
XUI TextField	references/xui/modules.md
XUI Textarea	references/xui/modules.md
XUI Option	references/xui/modules.md
XUI MultipleOption	references/xui/modules.md
XUI OrderedOption	references/xui/modules.md
XUI Segment	references/xui/modules.md
XUI Radio	references/xui/modules.md
XUI Checkbox	references/xui/modules.md
XUI Slider	references/xui/modules.md
XUI Stepper	references/xui/modules.md
XUI DateTime	references/xui/modules.md
XUI EditableList	references/xui/modules.md
XUI File	references/xui/modules.md
XUI TitleValue	references/xui/modules.md,references/xui/snippets.md
XUI snippet	references/xui/snippets.md
XUI Snippet	references/xui/snippets.md
snippet selector	references/xui/snippets.md,references/xui/modules.md
.xui	references/xui-format.md,xui.show,xui.setup
.xuic	references/xui-format.md,xui.show,xui.setup
A-Script-Bundle	references/xui-format.md
XXT project	references/xxt.md
single-script project	references/xxt.md
lua/scripts/main.lua	references/xxt.md
XXT_RES_PATH	references/api/xxt.env.md,references/xxt.md
XXT_HOME_PATH	references/api/xxt.env.md,references/xxt.md
XXT path variables	references/api/xxt.env.md
XXT environment paths	references/api/xxt.env.md
IS_TROLLSTORE_EDITION	references/api/xxt.env.md
有根	rootful,references/api/xxt.env.md
无根	rootless,references/api/xxt.env.md
隐根	roothide,references/api/xxt.env.md
巨魔版	TrollStore edition,references/api/xxt.env.md
alerthelper	references/api/alerthelper.md
AlertHelper	references/api/alerthelper.md
system alert automation	references/api/alerthelper.md
human assist	references/human-assist.md
assist task	references/human-assist.md
.tmp/xxtouch-ai	references/human-assist.md
project detection	scripts/inspect_project.py,references/xxt.md,references/xpp.md
inspect_project	scripts/inspect_project.py,references/xxt.md,references/xpp.md
initialize assist flow	scripts/init_assist_flow.py,references/human-assist.md
init_assist_flow	scripts/init_assist_flow.py,references/human-assist.md
merge assist result	scripts/merge_assist_result.py,references/human-assist.md
merge_assist_result	scripts/merge_assist_result.py,references/human-assist.md
.config.ignores	scripts/ensure_config_ignores.py,references/human-assist.md
buildIgnores	scripts/ensure_config_ignores.py,references/human-assist.md
clean screenshots	scripts/clean_assist_workspace.py,references/human-assist.md
color-point conversion	references/human-assist.md,scripts/assist_points_to_lua.py
color sample result	references/human-assist.md,scripts/assist_points_to_lua.py
assist_points_to_lua	scripts/assist_points_to_lua.py,references/human-assist.md
rectangle selection	scripts/assist_rect_to_lua.py,references/human-assist.md
region conversion	scripts/assist_rect_to_lua.py,references/human-assist.md
assist_rect_to_lua	scripts/assist_rect_to_lua.py,references/human-assist.md
matrix conversion	scripts/assist_matrix_to_lua.py,references/human-assist.md,references/api/dm.md
assist_matrix_to_lua	scripts/assist_matrix_to_lua.py,references/human-assist.md,references/api/dm.md
flow rendering	scripts/render_flow.py,references/human-assist.md,references/xxtdo-patterns.md
render_flow	scripts/render_flow.py,references/human-assist.md,references/xxtdo-patterns.md
install XXTDo	scripts/install_xxtdo.py,references/xxtdo.md,references/xxt.md,references/xpp.md
install_xxtdo	scripts/install_xxtdo.py,references/xxtdo.md,references/xxt.md,references/xpp.md
xxt_assist_create_task	references/human-assist.md
xxt_assist_wait_result	references/human-assist.md
XPP project	references/xpp.md,xpp.info,xpp.bundle_path,xpp.resource_path
script package structure	references/xpp.md,xpp.info,xpp.resource_path
Info.lua	references/xpp.md,xpp.info
BundleIdentifier	references/xpp.md,xpp.info
Executable	references/xpp.md,xpp.info
MainInterfaceFile	references/xpp.md,references/xui-format.md,xui.show,xui.setup
webview	webview.show,webview.eval,webview.frame,webview.hide,webview.destroy,webview.samples
web panel	webview.show,webview.eval,webview.frame,webview.samples
app	app.run,app.close,app.quit,app.front_bid
open app	app.run,app.open_url
close app	app.close,app.quit
frontmost app	app.front_bid,app.front_pid
bundle id	app.front_bid,app.bundles,app.pid_for_bid
app path	app.bundle_path,app.data_path,app.group_info
install IPA	app.install
uninstall app	app.uninstall
permission	app.set_tcc,app.notification_permissions,app.local_network_permissions
privacy	sys.user_tracking,sys.personalized_advertising,sys.location_services,references/api/sys.privacy.md
tracking	sys.user_tracking,sys.set_user_tracking
personalized ads	sys.personalized_advertising,sys.set_personalized_advertising
advertising	sys.personalized_advertising,sys.set_personalized_advertising
location services	sys.location_services,sys.set_location_services
location	sys.location_services,sys.set_location_services
app permissions	app.notification_permissions,app.local_network_permissions,references/api/app.permissions.md
notification permissions	app.notification_permissions
local network permissions	app.local_network_permissions
local network	app.local_network_permissions
notification	app.pop_banner
clear app	clear.app_data,clear.caches
keychain	clear.keychain,clear.all_keychain
IDFA	clear.idfav
photo album	clear.all_photos,utils.video_to_album
clipboard	pasteboard.read,pasteboard.write,pasteboard.clear,pasteboard.write_items
ui_element	ui_element,references/third-party/ui_element.md
UI element	ui_element,references/third-party/ui_element.md
element selector	ui_element,references/third-party/ui_element.md
element action	ui_element,references/third-party/ui_element.md
device_ui_element_snapshot	references/third-party/ui_element.md
device_ui_element_query	references/third-party/ui_element.md
device_ui_element_action	references/third-party/ui_element.md
JSON	json.encode,json.decode,json.null
Plist	plist.read,plist.write,plist.load,plist.dump,plist.data_convert
NSKeyedArchiver	plist.data_convert,references/api/plist.md
CF$UID	plist.data_convert,references/api/plist.md
