symbols	file	brief
XXT_HOME_PATH,XXT_BIN_PATH,XXT_LUA_PATH,XXT_LIB_PATH,XXT_RES_PATH,XXT_LOG_PATH,XXT_TESSDATA_PATH,XXT_SCRIPTS_PATH,IS_TROLLSTORE_EDITION	references/api/xxt.env.md	XXTouch built-in environment variables
xxtouch.activator_callback	references/api/xxtouch.activator_callback.md	Activator callback
alerthelper,alerthelper.setRules,alerthelper.clearRules,alerthelper.plainPattern,alerthelper.equalPattern	references/api/alerthelper.md	Auto-handle system alert dialogs
app.all_procs,app.front_bid,app.front_pid,app.pid_for_bid,app.is_running	references/api/app.processes.md	App processes/frontmost/running state
app.bundle_path	references/api/app.bundle_path.md	App bundle path
app.bundles	references/api/app.bundles.md	App BID list
app.run,app.close,app.quit	references/api/app.lifecycle.md	Launch/close apps
app.data_path	references/api/app.data_path.md	App data path
app.group_info	references/api/app.group_info.md	App group information
app.install,app.uninstall	references/api/app.install.md	Install/uninstall apps
app.localized_name	references/api/app.localized_name.md	Localized name
app.lsof	references/api/app.lsof.md	App open files
app.open_url	references/api/app.open_url.md	Open URL
app.notification_permissions,app.local_network_permissions	references/api/app.permissions.md	App notification and Local Network permissions
app.plugin_info	references/api/app.plugin_info.md	App plugin information
app.png_data_for_bid	references/api/app.png_data_for_bid.md	App icon data
app.pop_banner	references/api/app.pop_banner.md	App notification
app.set_tcc	references/api/app.set_tcc.md	App TCC permissions
app.used_memory	references/api/app.used_memory.md	App memory
xxtouch.call_callback	references/api/xxtouch.call_callback.md	Phone call callback
clear.keychain,clear.all_keychain	references/api/clear.keychain.md	Clear keychain
clear.all_photos	references/api/clear.all_photos.md	Clear local photo library
clear.app_data	references/api/clear.app_data.md	Clear app data
clear.caches	references/api/clear.caches.md	Clear system caches
clear.cookies	references/api/clear.cookies.md	Clear cookies
clear.idfav	references/api/clear.idfav.md	Clear IDFA/V
coreml	references/api/coreml.module.md	CoreML module overview
coreml.compile_model	references/api/coreml.compile_model.md	Compile CoreML model locally
coreml.model.request.object.methods	references/api/coreml.model.request.object.methods.md	CoreML request object methods
coreml.multi.array.module	references/api/coreml.multi.array.module.md	MLMultiArray tensor module
coreml.new_model_request	references/api/coreml.new_model_request.md	CoreML generic predictor
coreml.new_vision_request	references/api/coreml.new_vision_request.md	CoreML vision predictor
coreml.tokenizer.module	references/api/coreml.tokenizer.module.md	Text tokenizer module
coreml.vision.request.object:predict	references/api/coreml.vision.request.object.predict.md	CoreML image prediction
device.assistive_touch_on,device.assistive_touch_off	references/api/device.assistive_touch.md	Turn AssistiveTouch on/off
device.battery_level	references/api/device.battery_level.md	Battery level
device.battery_state	references/api/device.battery_state.md	Charging state
device.brightness,device.set_brightness	references/api/device.brightness.md	Read/set backlight brightness
device.flash_on,device.flash_off	references/api/device.flash.md	Flashlight switch
device.forget_wifi	references/api/device.forget_wifi.md	Forget Wi-Fi
device.front_orien	references/api/device.front_orien.md	Frontmost screen orientation
device.ifaddrs	references/api/device.ifaddrs.md	Interface IP addresses
device.is_orien_locked,device.lock_orien,device.unlock_orien	references/api/device.orientation_lock.md	Orientation lock
device.lock_screen,device.is_screen_locked,device.unlock_screen	references/api/device.screen_lock.md	Lock screen/status/unlock
device.turn_on_wifi,device.turn_off_wifi,device.turn_on_data,device.turn_off_data,device.turn_on_bluetooth,device.turn_off_bluetooth,device.turn_on_airplane,device.turn_off_airplane,device.is_vpn_on,device.turn_on_vpn,device.turn_off_vpn	references/api/device.network_switches.md	Network switches
device.join_wifi	references/api/device.join_wifi.md	Join Wi-Fi
device.name,device.set_name	references/api/device.name.md	Read/set device name
device.play_sound	references/api/device.play_sound.md	Play sound in background
device.reduce_motion_on,device.reduce_motion_off	references/api/device.reduce_motion.md	Reduce Motion
device.reset_idle	references/api/device.reset_idle.md	Reset auto-lock idle timer
device.serial_number	references/api/device.serial_number.md	Device serial number
device.set_autolock_time	references/api/device.set_autolock_time.md	Set auto-lock time
device.set_volume	references/api/device.set_volume.md	Set volume
device.type	references/api/device.type.md	Device type
device.udid	references/api/device.udid.md	Device UDID
device.vibrator	references/api/device.vibrator.md	Vibrate device
device.wifi_info	references/api/device.wifi_info.md	Current Wi-Fi
device.wifi_mac	references/api/device.wifi_mac.md	Wi-Fi MAC
dialog	references/api/dialog.md	Dialog object
dm,dm.SetPath,dm.SetDict,dm.LoadDict,dm.UseDict,dm.Ocr,dm.FindStr,dm.FindMatrix	references/api/dm.md	Matrix OCR/text search
Dialog:add_checkbox	references/api/Dialog.add_checkbox.md	Dialog checkbox
Dialog:add_button,Dialog:add_group,Dialog:reload,Dialog:set_close_title,Dialog:set_submit_title,dialog.engine	references/api/Dialog.xui.md	XUI dialog engine
Dialog:add_image	references/api/Dialog.add_image.md	Dialog image
Dialog:add_input	references/api/Dialog.add_input.md	Dialog input
Dialog:add_label	references/api/Dialog.add_label.md	Dialog label
Dialog:add_picker	references/api/Dialog.add_picker.md	Dialog picker
Dialog:add_radio	references/api/Dialog.add_radio.md	Dialog radio
Dialog:add_range	references/api/Dialog.add_range.md	Dialog numeric range
Dialog:add_switch	references/api/Dialog.add_switch.md	Dialog switch
Dialog:load	references/api/Dialog.load.md	Load configuration
Dialog:set_config	references/api/Dialog.set_config.md	Dialog configuration name
Dialog:set_corner_radius	references/api/Dialog.set_corner_radius.md	Dialog corner radius
Dialog:set_frame	references/api/Dialog.set_frame.md	Dialog position and size
Dialog:set_size	references/api/Dialog.set_size.md	Dialog size
Dialog:set_timeout	references/api/Dialog.set_timeout.md	Dialog timeout
Dialog:set_title	references/api/Dialog.set_title.md	Dialog title
Dialog:show	references/api/Dialog.show.md	Show and return selections
file.appends	references/api/file.appends.md	Append to file
file.attrs	references/api/file.attrs.md	File attributes
file.chdir	references/api/file.chdir.md	Change working directory
file.copy	references/api/file.copy.md	Copy file/directory
file.currentdir	references/api/file.currentdir.md	Current working directory
file.exists	references/api/file.exists.md	Existence check
file.find	references/api/file.find.md	Find file/directory
file.get_line,file.get_lines,file.set_line,file.set_lines,file.insert_line,file.insert_lines,file.remove_line,file.line_count	references/api/file.lines.md	Read/write/insert/delete/count text lines
file.lattrs	references/api/file.lattrs.md	Symlink attributes
file.link	references/api/file.link.md	Create file link
file.list	references/api/file.list.md	Directory file list
file.md5	references/api/file.md5.md	File MD5
file.mkdir_p	references/api/file.mkdir_p.md	Create directories recursively
file.move	references/api/file.move.md	Move file/directory
file.reads	references/api/file.reads.md	Read file
file.remove	references/api/file.remove.md	Delete file/directory
file.sha1	references/api/file.sha1.md	File SHA1
file.size	references/api/file.size.md	File size
file.touch	references/api/file.touch.md	Update file timestamp
file.zip,file.unzip	references/api/file.zip.md	Create/extract ZIP archives
file.writes	references/api/file.writes.md	Overwrite file
ftp.download,ftp.upload	references/api/ftp.transfer.md	FTP upload/download
get_elapsed_ms	references/api/get_elapsed_ms.md	Script elapsed milliseconds
xxtouch.hid_event	references/api/xxtouch.hid_event.md	HID event message
http.delete	references/api/http.delete.md	DELETE request
http.download	references/api/http.download.md	HTTP file download (deprecated; prefer http.get)
http.get	references/api/http.get.md	GET request
http.head	references/api/http.head.md	HEAD request
http.post	references/api/http.post.md	POST request
http.put	references/api/http.put.md	PUT request
http.table_to_form_urlencoded	references/api/http.table_to_form_urlencoded.md	URL-encoded form encoding
